,0,1
0,zip,95014
1,sector,Technology
2,fullTimeEmployees,164000
3,longBusinessSummary,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. Further, it provides AppleCare support and cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California."
4,city,Cupertino
5,phone,408 996 1010
6,state,CA
7,country,United States
8,companyOfficers,[]
9,website,https://www.apple.com
10,maxAge,1
11,address1,One Apple Park Way
12,industry,Consumer Electronics
13,ebitdaMargins,0.32329
14,profitMargins,0.24558
15,grossMargins,0.43058997
16,operatingCashflow,109189996544
17,revenueGrowth,-0.055
18,operatingMargins,0.29408002
19,ebitda,125287997440
20,targetLowPrice,118
21,recommendationKey,buy
22,grossProfits,170782000000
23,freeCashflow,84729126912
24,targetMedianPrice,173
25,earningsGrowth,-0.105
26,currentRatio,0.938
27,returnOnAssets,0.19569999
28,numberOfAnalystOpinions,38
29,targetMeanPrice,169.39
30,debtToEquity,195.868
31,returnOnEquity,1.47943
32,targetHighPrice,210
33,totalCash,51355000832
34,totalDebt,111109996544
35,totalRevenue,387537010688
36,totalCashPerShare,3.246
37,financialCurrency,USD
38,revenuePerShare,24.084
39,quickRatio,0.769
40,recommendationMean,1.9
41,shortName,Apple Inc.
42,longName,Apple Inc.
43,isEsgPopulated,False
44,gmtOffSetMilliseconds,-18000000
45,messageBoardId,finmb_24937
46,market,us_market
47,annualHoldingsTurnover,
48,enterpriseToRevenue,6.496
49,beta3Year,
50,enterpriseToEbitda,20.093
51,morningStarRiskRating,
52,forwardEps,6.58
53,revenueQuarterlyGrowth,
54,sharesOutstanding,15821899776
55,fundInceptionDate,
56,annualReportExpenseRatio,
57,totalAssets,
58,bookValue,3.581
59,sharesShort,115480341
60,sharesPercentSharesOut,0.0073
61,fundFamily,
62,lastFiscalYearEnd,1663977600
63,heldPercentInstitutions,0.61289
64,netIncomeToCommon,95171002368
65,trailingEps,5.89
66,lastDividendValue,0.23
67,SandP52WeekChange,-0.059431553
68,priceToBook,42.923763
69,heldPercentInsiders,0.00074
70,nextFiscalYearEnd,1695513600
71,yield,
72,mostRecentQuarter,1672444800
73,shortRatio,1.6
74,sharesShortPreviousMonthDate,1672358400
75,floatShares,15805174737
76,beta,1.277894
77,enterpriseValue,2517377744896
78,priceHint,2
79,threeYearAverageReturn,
80,lastSplitDate,1598832000
81,lastSplitFactor,4:1
82,legalType,
83,lastDividendDate,1675987200
84,morningStarOverallRating,
85,earningsQuarterlyGrowth,-0.134
86,priceToSalesTrailing12Months,6.2754893
87,dateShortInterest,1675123200
88,pegRatio,3.2
89,ytdReturn,
90,forwardPE,23.360184
91,lastCapGain,
92,shortPercentOfFloat,0.0073
93,sharesShortPriorMonth,124024570
94,impliedSharesOutstanding,0
95,category,
96,fiveYearAverageReturn,
97,trailingAnnualDividendYield,0.005858495
98,payoutRatio,0.1545
99,navPrice,
100,trailingAnnualDividendRate,0.91
101,toCurrency,
102,expireDate,
103,algorithm,
104,dividendRate,0.92
105,exDividendDate,1675987200
106,circulatingSupply,
107,startDate,
108,trailingPE,26.096775
109,lastMarket,
110,maxSupply,
111,openInterest,
112,volumeAllCurrencies,
113,strikePrice,
114,ask,0
115,askSize,900
116,fromCurrency,
117,fiveYearAvgDividendYield,0.96
118,bid,0
119,tradeable,False
120,dividendYield,0.0058999998
121,bidSize,1300
122,coinMarketCapLink,
123,preMarketPrice,
124,logo_url,https://logo.clearbit.com/apple.com
125,trailingPegRatio,2.4749
